"","sample_id","Result(NPOC)","Result(TN)","Block","Plot","Treatment","FUM","freshsoil_g","soilm_tin","soilm_wet_g","soilm_dry_tin","k2so4_L"
"85","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
